epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,6827.97,0.58356,0.89149,0.89707,0.69769,0.7561,0.75164,0.65102,0.51498,0.72684,0.82976,6.2652e-05,6.2652e-05,6.2652e-05
126,6882.07,0.59619,0.89744,0.89843,0.75228,0.73424,0.76147,0.65685,0.519,0.70477,0.82844,6.0375e-05,6.0375e-05,6.0375e-05
127,6936.13,0.5754,0.89074,0.89467,0.71464,0.76713,0.76147,0.65947,0.51132,0.71362,0.82657,5.8098e-05,5.8098e-05,5.8098e-05
128,6990,0.58193,0.8795,0.89389,0.75403,0.74579,0.76266,0.65754,0.51526,0.70447,0.82786,5.5821e-05,5.5821e-05,5.5821e-05
129,7044.32,0.58483,0.87916,0.89457,0.72261,0.74173,0.75389,0.65249,0.51721,0.72538,0.82709,5.3544e-05,5.3544e-05,5.3544e-05
130,7098.47,0.58117,0.88631,0.89986,0.71925,0.75566,0.7593,0.65563,0.50998,0.71108,0.82679,5.1267e-05,5.1267e-05,5.1267e-05
131,7152.37,0.57954,0.8723,0.89694,0.75138,0.73002,0.75999,0.65572,0.51559,0.71385,0.82738,4.899e-05,4.899e-05,4.899e-05
132,7206.46,0.57259,0.8725,0.89004,0.77088,0.71269,0.76132,0.65874,0.51251,0.71369,0.82644,4.6713e-05,4.6713e-05,4.6713e-05
133,7260.5,0.57337,0.8732,0.89242,0.74262,0.74531,0.76649,0.66376,0.50914,0.71137,0.82523,4.4436e-05,4.4436e-05,4.4436e-05
134,7314.58,0.58386,0.87206,0.89182,0.73938,0.72065,0.76239,0.65674,0.51308,0.7124,0.82579,4.2159e-05,4.2159e-05,4.2159e-05
135,7368.75,0.58914,0.88383,0.89798,0.732,0.73785,0.76081,0.6575,0.51233,0.71432,0.82566,3.9882e-05,3.9882e-05,3.9882e-05
136,7422.84,0.58073,0.88221,0.89879,0.71355,0.76423,0.76117,0.65704,0.50918,0.7001,0.82684,3.7605e-05,3.7605e-05,3.7605e-05
137,7476.82,0.58174,0.87086,0.90076,0.69937,0.75984,0.75791,0.65551,0.50799,0.70892,0.82771,3.5328e-05,3.5328e-05,3.5328e-05
138,7531.62,0.58097,0.88722,0.89902,0.74748,0.74936,0.76699,0.66284,0.50976,0.69546,0.82698,3.3051e-05,3.3051e-05,3.3051e-05
139,7587.21,0.58578,0.8788,0.89836,0.74823,0.74971,0.76615,0.66316,0.50809,0.69867,0.82621,3.0774e-05,3.0774e-05,3.0774e-05
140,7641.89,0.57711,0.85634,0.89435,0.73834,0.74984,0.76085,0.65924,0.50972,0.70547,0.82552,2.8497e-05,2.8497e-05,2.8497e-05
141,7695.46,0.51653,0.66655,0.841,0.70719,0.75434,0.74896,0.64963,0.5142,0.72776,0.82507,2.622e-05,2.622e-05,2.622e-05
142,7748.46,0.51613,0.63419,0.84288,0.7654,0.71352,0.75601,0.65411,0.51254,0.73005,0.82559,2.3943e-05,2.3943e-05,2.3943e-05
143,7800.84,0.5045,0.63003,0.84527,0.74736,0.73736,0.76569,0.65927,0.51244,0.71368,0.82509,2.1666e-05,2.1666e-05,2.1666e-05
144,7853.27,0.50546,0.62403,0.84111,0.77517,0.7337,0.76811,0.66166,0.50807,0.70309,0.82496,1.9389e-05,1.9389e-05,1.9389e-05
145,7905.6,0.51204,0.62337,0.84696,0.77855,0.73427,0.76814,0.66089,0.51169,0.70245,0.82558,1.7112e-05,1.7112e-05,1.7112e-05
146,7958.22,0.50683,0.61735,0.84276,0.77769,0.733,0.77142,0.66339,0.51132,0.69943,0.82554,1.4835e-05,1.4835e-05,1.4835e-05
147,8010.56,0.50499,0.60691,0.84198,0.77889,0.72629,0.77219,0.66368,0.5104,0.70105,0.82585,1.2558e-05,1.2558e-05,1.2558e-05
148,8062.89,0.50269,0.60813,0.84118,0.77497,0.73889,0.77409,0.66702,0.51131,0.69629,0.82564,1.0281e-05,1.0281e-05,1.0281e-05
149,8115.28,0.49798,0.61467,0.8417,0.77581,0.73883,0.77228,0.66501,0.50923,0.70118,0.82497,8.004e-06,8.004e-06,8.004e-06
150,8167.82,0.51146,0.61388,0.8381,0.78657,0.73027,0.77117,0.66691,0.50742,0.70298,0.82415,5.727e-06,5.727e-06,5.727e-06
